gene type
1 h1SMcG0000695 up
2 h1SMcG0001078 up
3 h1SMcG0001223 up
4 h1SMcG0001252 down
5 h1SMcG0002720 down
6 h1SMcG0003694 up
7 h1SMcG0004344 down
8 h1SMcG0004369 down
9 h1SMcG0005934 down
10 h1SMcG0006034 up
11 h1SMcG0006347 up
12 h1SMcG0006364 up
13 h1SMcG0008651 up
14 h1SMcG0009947 up
15 h1SMcG0010360 up
16 h1SMcG0011389 up
17 h1SMcG0012637 up
18 h1SMcG0013802 down
19 h1SMcG0015357 up
20 h1SMcG0015707 up
21 h1SMcG0017484 down
22 h1SMcG0019478 up
23 h1SMcG0019976 up
24 h1SMcG0020318 down
25 h1SMcG0020690 up
26 h1SMcG0021022 up
27 h1SMcG0021134 up
28 h1SMcG0021505 down
29 h1SMcG0022237 down
30 h1SMcG0022252 up
31 h1SMcG0022319 up
32 h1SMcG0022569 up
33 h1SMnG0011739 up
34 h1SMnG0027510 up
35 h1SMnG0027537 up
36 h1SMnG0028594 up
37 h1SMnG0031663 up
38 h1SMnG0035175 up
39 h1SMnG0035352 up
