gene type
1 h1SMcG0000236 up
2 h1SMcG0000295 down
3 h1SMcG0000909 up
4 h1SMcG0001122 up
5 h1SMcG0002331 down
6 h1SMcG0002552 up
7 h1SMcG0002647 down
8 h1SMcG0003737 up
9 h1SMcG0004179 down
10 h1SMcG0004242 down
11 h1SMcG0004574 down
12 h1SMcG0005681 up
13 h1SMcG0006117 down
14 h1SMcG0006122 down
15 h1SMcG0006486 up
16 h1SMcG0006489 up
17 h1SMcG0006689 up
18 h1SMcG0007437 down
19 h1SMcG0007525 down
20 h1SMcG0008281 up
21 h1SMcG0009479 up
22 h1SMcG0009480 up
23 h1SMcG0009675 down
24 h1SMcG0009868 down
25 h1SMcG0009914 up
26 h1SMcG0010088 up
27 h1SMcG0010129 down
28 h1SMcG0010426 down
29 h1SMcG0011148 up
30 h1SMcG0011389 up
31 h1SMcG0012159 down
32 h1SMcG0013407 up
33 h1SMcG0013410 up
34 h1SMcG0014762 down
35 h1SMcG0014925 up
36 h1SMcG0015418 down
37 h1SMcG0016386 down
38 h1SMcG0016777 down
39 h1SMcG0016889 up
40 h1SMcG0018055 down
41 h1SMcG0018118 down
42 h1SMcG0020212 down
43 h1SMcG0020223 down
44 h1SMcG0020329 down
45 h1SMcG0020414 up
46 h1SMcG0020686 down
47 h1SMcG0021118 down
48 h1SMcG0021303 down
49 h1SMcG0021376 down
50 h1SMcG0021856 down
51 h1SMcG0021858 down
52 h1SMcG0021974 down
53 h1SMcG0022222 up
54 h1SMcG0022250 down
55 h1SMcG0022252 up
56 h1SMnG0001676 up
57 h1SMnG0001686 up
58 h1SMnG0001687 up
59 h1SMnG0004159 up
60 h1SMnG0004186 up
61 h1SMnG0004190 up
62 h1SMnG0011740 up
63 h1SMnG0032083 up
64 h1SMnG0032230 up
65 h1SMnG0032715 down
66 h1SMnG0035352 up
67 h1SMnG0035548 down
68 h1SMnG0035616 down
